Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2015-01-05,8407.95,8445.6,8363.9,8378.4,118160545.0,5525.52
2015-01-06,8325.3,8327.85,8111.35,8127.35,172799618.0,8089.19
2015-01-07,8118.65,8151.2,8065.45,8102.1,164075424.0,7464.33
2015-01-08,8191.4,8243.5,8167.3,8234.6,143802802.0,8147.4
2015-01-09,8285.45,8303.3,8190.8,8284.5,152612528.0,9305.95
2015-01-12,8291.35,8332.6,8245.6,8323.0,103153908.0,5437.76
2015-01-13,8346.15,8356.65,8267.9,8299.4,129561892.0,6499.2
2015-01-14,8307.25,8326.45,8236.65,8277.55,150621631.0,7020.91
2015-01-15,8424.5,8527.1,8380.55,8494.15,232138802.0,10725.62
2015-01-16,8504.05,8530.75,8452.25,8513.8,181365905.0,8690.54
2015-01-19,8550.05,8570.95,8531.5,8550.7,129346422.0,6292.59
2015-01-20,8575.1,8707.9,8574.5,8695.6,158713840.0,7838.19
2015-01-21,8719.65,8741.85,8689.6,8729.5,191651012.0,9735.99
2015-01-22,8745.85,8774.15,8727.0,8761.4,180912372.0,9025.95
2015-01-23,8827.95,8866.4,8795.4,8835.6,197124706.0,9716.57
2015-01-27,8871.35,8925.05,8825.45,8910.5,192010521.0,9988.36
2015-01-28,8902.75,8985.05,8874.05,8914.3,190805926.0,10313.46
2015-01-29,8901.5,8966.65,8861.25,8952.35,264245843.0,13427.54
2015-01-30,8996.6,8996.6,8775.1,8808.9,275587957.0,12385.18
2015-02-02,8802.5,8840.8,8751.1,8797.4,216556534.0,10430.34
2015-02-03,8823.15,8837.3,8726.65,8756.55,208672175.0,9888.1
2015-02-04,8789.15,8792.85,8704.4,8723.7,201252375.0,8707.82
2015-02-05,8733.1,8838.45,8683.65,8711.7,179008853.0,9126.1
2015-02-06,8696.85,8726.2,8645.55,8661.05,176554075.0,7912.1
2015-02-09,8584.4,8605.55,8516.35,8526.35,151329604.0,6863.17
2015-02-10,8478.1,8646.25,8470.5,8565.55,202294693.0,9965.76
2015-02-11,8603.3,8651.95,8593.65,8627.4,166560867.0,7602.46
2015-02-12,8676.95,8732.55,8599.25,8711.55,163681352.0,7669.87
2015-02-13,8741.5,8822.1,8729.65,8805.5,228807812.0,10248.41
2015-02-16,8831.4,8870.1,8793.4,8809.35,140637331.0,7047.32
2015-02-18,8811.55,8894.3,8808.9,8869.1,152152801.0,10153.74
2015-02-19,8883.05,8913.45,8794.45,8895.3,219867400.0,9794.26
2015-02-20,8895.5,8899.95,8816.3,8833.6,203714864.0,8193.56
2015-02-23,8856.85,8869.0,8736.1,8754.95,143932325.0,7171.05
2015-02-24,8772.9,8800.5,8726.75,8762.1,154368611.0,7413.31
2015-02-25,8801.9,8840.65,8751.4,8767.25,139406599.0,6986.78
2015-02-26,8779.0,8786.05,8669.45,8683.85,224185492.0,10531.16
2015-02-27,8729.5,8856.95,8717.45,8844.6,257226273.0,11924.49
2015-02-28,8913.05,8941.1,8751.35,8901.85,246453954.0,10064.41
2015-03-02,8953.85,8972.35,8885.45,8956.75,224772586.0,11525.5
2015-03-03,8962.85,9008.4,8925.55,8996.25,183251960.0,9033.61
2015-03-04,9109.15,9119.2,8893.95,8922.65,256060375.0,12130.98
2015-03-05,8929.4,8957.55,8849.35,8937.75,165081476.0,8250.55
2015-03-09,8891.15,8891.3,8740.45,8756.75,160332840.0,8132.43
2015-03-10,8769.75,8778.0,8677.35,8712.05,168916337.0,8402.33
2015-03-11,8728.75,8755.6,8682.35,8699.95,178053293.0,8259.67
2015-03-12,8740.65,8787.2,8732.9,8776.0,179337979.0,8184.46
2015-03-13,8844.05,8849.75,8631.75,8647.75,184665971.0,8121.26
2015-03-16,8656.75,8663.55,8612.0,8633.15,168438040.0,7559.94
2015-03-17,8689.1,8742.55,8630.8,8723.3,182504639.0,8086.26
2015-03-18,8742.9,8747.25,8664.0,8685.9,161153533.0,8227.5
2015-03-19,8749.45,8788.2,8614.65,8634.65,168628424.0,8460.35
2015-03-20,8627.9,8627.9,8553.0,8570.9,179982752.0,8484.23
2015-03-23,8591.55,8608.35,8540.55,8550.9,155425780.0,6195.45
2015-03-24,8537.05,8627.75,8535.85,8542.95,161465466.0,7913.26
2015-03-25,8568.9,8573.75,8516.55,8530.8,165952155.0,8200.05
2015-03-26,8474.95,8499.45,8325.35,8342.15,288758332.0,13667.31
2015-03-27,8396.0,8413.2,8269.15,8341.4,198979321.0,9528.86
2015-03-30,8390.95,8504.55,8380.75,8492.3,142061290.0,6713.2
2015-03-31,8527.6,8550.45,8454.15,8491.0,177059509.0,8108.36
2015-04-01,8483.7,8603.4,8464.75,8586.25,136312446.0,6863.03
2015-04-06,8615.8,8667.55,8573.75,8659.9,150877855.0,7633.0
2015-04-07,8684.45,8693.6,8586.85,8660.3,141765381.0,7287.01
2015-04-08,8698.95,8730.5,8679.8,8714.4,149617725.0,7889.65
2015-04-09,8756.2,8785.5,8682.45,8778.3,158192905.0,8391.19
2015-04-10,8774.35,8787.4,8733.6,8780.35,141464357.0,7119.96
2015-04-13,8801.75,8841.65,8762.1,8834.0,122833397.0,6242.71
2015-04-15,8844.75,8844.8,8722.4,8750.2,170458015.0,8908.26
2015-04-16,8757.05,8760.0,8645.65,8706.7,149337173.0,8268.33
2015-04-17,8698.05,8699.85,8596.7,8606.0,155474164.0,9134.37
2015-04-20,8618.8,8619.95,8422.75,8448.1,154492312.0,8930.38
2015-04-21,8416.1,8469.35,8352.7,8377.75,,
2015-04-22,8400.4,8449.95,8284.7,8429.7,176926942.0,10002.48
2015-04-23,8478.2,8504.95,8361.85,8398.3,169840748.0,9801.34
2015-04-24,8405.7,8413.3,8273.35,8305.25,177843969.0,10984.24
2015-04-27,8330.55,8334.45,8202.35,8213.8,174706337.0,10143.36
2015-04-28,8215.55,8308.0,8185.15,8285.6,183754628.0,9560.13
2015-04-29,8274.8,8308.2,8219.2,8239.75,174958511.0,8571.95
2015-04-30,8224.5,8229.4,8144.75,8181.5,281696257.0,14755.35
2015-05-04,8230.05,8346.0,8220.45,8331.95,136913823.0,7856.18
2015-05-05,8338.4,8355.65,8280.6,8324.8,156019941.0,8138.54
2015-05-06,8316.6,8331.95,8083.0,8097.0,212509839.0,10894.12
2015-05-07,8077.0,8122.6,7997.15,8057.3,166563657.0,8443.96
2015-05-08,8131.5,8224.95,8123.45,8191.5,188776090.0,8961.33
2015-05-11,8243.2,8332.75,8224.65,8325.25,197882948.0,8396.12
2015-05-12,8326.15,8326.65,8115.3,8126.95,178753978.0,8779.53
2015-05-13,8181.55,8254.95,8089.8,8235.45,175015183.0,8391.93
2015-05-14,8232.45,8236.25,8137.3,8224.2,138964395.0,6763.72
2015-05-15,8240.3,8279.2,8212.2,8262.35,133838055.0,6463.64
2015-05-18,8284.95,8384.6,8271.95,8373.65,153340463.0,7459.18
2015-05-19,8356.2,8427.8,8335.0,8365.65,144642344.0,7266.52
2015-05-20,8392.65,8440.35,8391.45,8423.25,127388797.0,6151.44
2015-05-21,8434.5,8446.35,8382.5,8421.0,148189485.0,7641.6
2015-05-22,8432.5,8489.55,8420.6,8458.95,193080657.0,8261.69
2015-05-25,8438.15,8441.95,8364.15,8370.25,125051166.0,5555.29
2015-05-26,8377.1,8378.9,8320.05,8339.35,120428892.0,5908.3
2015-05-27,8302.75,8342.85,8277.95,8334.6,170583401.0,8131.59
2015-05-28,8345.7,8364.5,8270.15,8319.0,239549060.0,11449.91
2015-05-29,8327.1,8443.9,8305.7,8433.65,375232198.0,20736.2
2015-06-01,8417.25,8467.15,8405.4,8433.4,125990614.0,7254.01
2015-06-02,8442.8,8445.35,8226.05,8236.45,151337661.0,8083.17
2015-06-03,8232.45,8236.7,8094.15,8135.1,176661646.0,7920.26
2015-06-04,8155.15,8160.05,8056.75,8130.65,159470840.0,7560.49
2015-06-05,8119.15,8191.0,8100.15,8114.7,167055308.0,7588.4
2015-06-08,8124.35,8131.0,8030.55,8044.15,140075743.0,6230.61
2015-06-09,8026.5,8057.15,8005.15,8022.4,140217686.0,6442.05
2015-06-10,8024.15,8152.25,8023.8,8124.45,141030200.0,6790.27
2015-06-11,8157.3,8163.05,7958.25,7965.35,171348959.0,7868.44
2015-06-12,7959.85,7995.6,7940.3,7982.9,140839875.0,6737.25
2015-06-15,7986.6,8057.7,7944.85,8013.9,137116389.0,6129.12
2015-06-16,8004.2,8061.85,7952.35,8047.3,127809460.0,5923.8
2015-06-17,8084.2,8136.85,8048.95,8091.55,157205716.0,7878.66
2015-06-18,8113.7,8186.9,8101.8,8174.6,149266110.0,7767.77
2015-06-19,8201.15,8250.8,8195.65,8224.95,151575997.0,7722.05
2015-06-22,8259.3,8369.45,8257.4,8353.1,126542473.0,6163.02
2015-06-23,8377.45,8398.45,8334.95,8381.55,135844708.0,6437.33
2015-06-24,8399.4,8421.35,8338.9,8360.85,134062733.0,7175.22
2015-06-25,8336.25,8423.15,8329.5,8398.0,207421340.0,9911.16
2015-06-26,8393.95,8408.55,8339.7,8381.1,113959476.0,5848.78
2015-06-29,8247.05,8329.45,8195.65,8318.4,136106699.0,6604.12
2015-06-30,8316.35,8378.0,8298.95,8368.5,163366250.0,8425.52
2015-07-01,8376.25,8481.6,8370.15,8453.05,135887471.0,6938.05
2015-07-02,8471.95,8479.25,8433.2,8444.9,115472141.0,6065.26
2015-07-03,8440.1,8497.75,8424.15,8484.9,91142979.0,4983.21
2015-07-06,8386.15,8533.15,8386.15,8522.15,104578132.0,5517.86
2015-07-07,8525.5,8561.35,8483.85,8510.8,126038231.0,6054.41
2015-07-08,8439.2,8457.5,8341.4,8363.05,193886999.0,8876.81
2015-07-09,8364.85,8400.3,8323.0,8328.55,135358659.0,6610.4
2015-07-10,8365.7,8377.1,8315.4,8360.55,158883926.0,8128.47
2015-07-13,8397.25,8471.65,8355.4,8459.65,121380175.0,6506.28
2015-07-14,8470.6,8480.25,8424.1,8454.1,104893796.0,5454.41
2015-07-15,8463.4,8531.4,8462.95,8523.8,108835522.0,5805.53
2015-07-16,8546.15,8616.1,8542.9,8608.05,119637042.0,6544.15
2015-07-17,8623.65,8642.95,8593.15,8609.85,108190401.0,5713.13
2015-07-20,8623.9,8624.1,8559.0,8603.45,93439295.0,5107.62
2015-07-21,8601.5,8646.75,8517.9,8529.45,169151098.0,10699.52
2015-07-22,8512.25,8643.9,8498.65,8633.5,141018383.0,7427.34
2015-07-23,8643.95,8654.75,8573.8,8589.8,136962516.0,7747.81
2015-07-24,8588.15,8589.15,8513.5,8521.55,131344832.0,6942.22
2015-07-27,8492.1,8492.2,8351.55,8361.0,140828066.0,7353.09
2015-07-28,8371.1,8397.4,8321.75,8337.0,179983810.0,8403.15
2015-07-29,8365.6,8381.5,8338.45,8375.05,145399010.0,7232.34
2015-07-30,8417.0,8458.9,8408.3,8421.8,221939186.0,10007.3
2015-07-31,8456.1,8548.95,8448.0,8532.85,209629301.0,9522.19
2015-08-03,8510.65,8563.95,8508.1,8543.05,161485758.0,7738.1
2015-08-04,8564.1,8565.15,8448.25,8516.9,193226091.0,9003.82
2015-08-05,8547.45,8591.85,8545.85,8567.95,136948290.0,6434.82
2015-08-06,8585.8,8606.3,8551.5,8588.65,139116393.0,6595.25
2015-08-07,8580.8,8595.95,8552.7,8564.6,148073594.0,6528.28
2015-08-10,8577.0,8621.55,8497.8,8525.6,127194886.0,5780.49
2015-08-11,8548.45,8556.25,8441.3,8462.35,159192694.0,7049.29
